klavíristka;Q486748
klempířka;Q852718
klenotnice;Q336221
klenotník;Q336221
klimatolog;Q1113838
klimatoložka;Q1113838
knihař;Q1413170
knihkupec;Q998550
knihkupkyně;Q998550
knihovnice;Q182436
knihovník;Q182436
kolážista;Q22343478
kolážistka;Q22343478
kolorista;Q1111648
koloristka;Q1111648
komentátor;Q1642960
komentátorka;Q1642960
komička;Q245068
komik;Q245068
kominice;Q506126
kominík;Q506126
komorník;Q264323
komparz;Q658371
kompilátor;Q29514511
komunard;Q1780490
kondotiér;Q273108
kondotiérka;Q273108
konferenciér;Q736415
konstábl;Q165654
konstruktér;Q1779650
konstruktérka;Q1779650
kontrabasista;Q1214796
kontrabasistka;Q1214796
konvářství;Q63607702
konzervátorka;Q446966
konzultant;Q15978655
konzultantka;Q15978655
koreanista;Q19829994
koreanistka;Q19829994
korektor;Q356139
korektorka;Q356139
korepetitor;Q1784753
korepetitorka;Q1784753
korfbalista;Q23754399
kormidelník;Q2309900
koroner;Q1134614
korzár;Q201559
kosmetička;Q2752318
kosmolog;Q2998308
kosmonaut;Q11631
kosmonautka;Q11631
kostelník;Q1365552
košíkář;Q976015
kotlář;Q520895
koučování;Q1104185
koulař;Q18534714
koulařka;Q18534714
kovář;Q1639825
kovářka;Q1639825
kovboj;Q178521
kovolijec;Q19435686
kovotepec;Q838566
kovotepkyně;Q838566
koželuh;Q365461
krajinář;Q21600439
krajinářka;Q21600439
krajkář;Q3023339
krajkářka;Q3023339
krasobruslař;Q13219587
krasobruslařka;Q13219587
krejčí;Q242468
krejčová;Q242468
kreslič;Q683754
kreslička;Q683754
kriminolog;Q8142883
kriminoložka;Q8142883
kritička;Q6430706
kritik;Q6430706
kronikář;Q3330547
kronikářka;Q3330547
krupiér;Q219184
krupiérka;Q219184
kryptoanalytik;Q1647775
kryptograf;Q15442776
kryptografka;Q15442776
kryptolog;Q16390131
kryptoložka;Q16390131
krystalograf;Q15142825
krystalografka;Q15142825
kulturista;Q15982795
kulturistka;Q15982795
kulturolog;Q15462162
kulturoložka;Q15462162
kunsthistorik;Q1792450
kurátor;Q780596
kurátorka;Q780596
kybernetička;Q5197818
kybernetik;Q5197818
kynolog;Q18511915
kynoložka;Q18511915
kyrysník;Q44865
kytarista;Q855091
kytaristka;Q855091
laborant;Q1483433
latinista;Q17598791
latinistka;Q17598791
léčitel;Q2518689
léčitelka;Q2518689
lékárník;Q4379628
lékař;Q39631
lékařka;Q39631
lektor;Q24708213
lektorka;Q9379869
lepidopterolog;Q497294
lepidopteroložka;Q497294
lesník;Q1895303
lexikograf;Q14972848
lexikografka;Q14972848
lexikolog;Q16314361
libretista;Q8178443
libretistka;Q8178443
lichenolog;Q15924544
lichenoložka;Q15924544
limnolog;Q17269204
limnoložka;Q17269204
literát;Q6673651
litograf;Q16947657
litografka;Q16947657
liturgista;Q10567966
liturgistka;Q10567966
lobbista;Q11986654
lobbistka;Q11986654
lodivod;Q475604
lodník;Q2891167
logička;Q14565331
logik;Q14565331
logistik;Q12033805
logograf;Q1133078
logoped;Q11762416
loutkář;Q2217284
loutkářka;Q2217284
loutkoherec;Q2629392
loutkoherečka;Q2629392
loutnista;Q21166956
loutnistka;Q21166956
lukostřelec;Q13382355
lukostřelkyně;Q13382355
lyžař;Q4270517
lyžařka;Q4270517
magistrát;Q4594605
mahásiddha;Q1993633
makléř;Q160117
makléřka;Q160117
malakolog;Q16271261
malakoložka;Q16271261
malariolog;Q17156912
malíř;Q1028181
malířka;Q1028181
mammalog;Q16831394
mammaloložka;Q16831394
manažer;Q2462658
manažerka;Q2462658
mandolinista;Q19723482
mandolinistka;Q19723482
marketér;Q1900657
matematička;Q170790
matematik;Q170790
mayolog;Q2109655
mayoložka;Q2109655
medailér;Q1708232
medailérka;Q1708232
medička;Q3486937
medievalista;Q3332711
medievalistka;Q3332711
medik;Q3486937
mědirytec;Q13365770
mechanička;Q327029
metalurg;Q18576582
metalurgyně;Q18576582
meteorolog;Q2310145
meteoroložka;Q2310145
metrolog;Q6824851
mikrobiolog;Q3779582
mikrobioložka;Q3779582
mikroskopička;Q71102034
mikroskopik;Q71102034
mincmistr;Q1463475
mineralog;Q13416354
mineraložka;Q13416354
misionář;Q219477
misionářka;Q219477
mluvčí;Q17221
modelka;Q4610556
moderátor;Q13590141
moderátorka;Q13590141
mongolista;Q19829967
mongolistka;Q19829967
mořeplavec;Q12038843
mořeplavkyně;Q12038843
mozaikář;Q282718
mozaikářka;Q282718
multiinstrumentalista;Q1327329
multiinstrumentalistka;Q1327329
mušketýr;Q721960
muzejník;Q10333969
muzeolog;Q10333969
muzeoložka;Q10333969
muzikantka;Q639669
muzikolog;Q14915627
muzikoložka;Q14915627
mykénolog;Q26425137
mykénoložka;Q26425137
mykolog;Q2487799
mykoložka;Q2487799
myriapodolog;Q27924982
myrmekolog;Q20650437
myrmekoložka;Q20650437
mytolog;Q16724455
mytoložka;Q16724455
nakladatel;Q2516866
nakladatelka;Q2516866
námořnice;Q45199
námořník;Q45199
nanotechnolog;Q63343073
nanotechnoložka;Q63343073
natlačovač;Q1756083
naturopat;Q42673468
navrhovatel;Q14623005
navrhovatelka;Q14623005
nefrolog;Q20739489
nefroložka;Q20739489
nematolog;Q21491495
nematoložka;Q21491495
neonatolog;Q28569455
neonatoložka;Q28569455
neurobiolog;Q20739288
neurobioložka;Q20739288
neurofyziolog;Q23719406
neurofyzioložka;Q23719406
neurochirurg;Q9385011
neurolog;Q783906
neuroložka;Q783906
neuropatolog;Q15839237
neurovědec;Q6337803
neurovědkyně;Q6337803
notář;Q189010
notářka;Q189010
novinář;Q1930187
novinářka;Q1930187
numerolog;Q79136455
numeroložka;Q79136455
numismatička;Q2004963
numismatik;Q2004963
nummularius;Q2005008
obezitolog;Q71102648
obezitoložka;Q71102648
obhájce;Q512345
obhájkyně;Q512345
obuvnice;Q152355
obuvník;Q152355
oceánograf;Q3546255
oceánografka;Q3546255
odstřelovač;Q201948
odstřelovačka;Q201948
oftalmolog;Q12013238
oftalmoložka;Q12013238
ombudsman;Q169180
onkolog;Q16062369
onkoložka;Q16062369
optička;Q71133019
organizátor;Q1419997
organizátorka;Q1419997
orientalista;Q1731155
orientalistka;Q1731155
ornitolog;Q1225716
ornitoložka;Q1225716
ortoped;Q71134636
ortopedka;Q71134636
otorhinolaryngolog;Q2854916
paleoantropolog;Q21272406
paleoantropoložka;Q21272406
paleobotanička;Q30059961
paleobotanik;Q30059961
paleoekolog;Q63865107
paleoekoložka;Q63865107
paleogeograf;Q51048024
paleograf;Q17132038
paleoichthyolog;Q27808149
paleoichthyoložka;Q27808149
paleontolog;Q1662561
paleontoložka;Q1662561
pamfletista;Q16254673
pamfletistka;Q16254673
paparazzi;Q156624
paraprofesionál;Q7135767
parapsycholog;Q3363630
parašutista;Q6060450
parašutistka;Q6060450
parazitolog;Q12773412
parazitoložka;Q12773412
parkourista;Q2568073
parodik;Q12331010
pasekář;Q61357045
pastevec;Q12059906
patobiochemička;Q71103068
patobiochemik;Q71103068
patofyziolog;Q71135051
patofyzioložka;Q71135051
patolog;Q3368718
patoložka;Q3368718
pavědkyně;Q22082749
páže;Q855855
pedagog;Q1231865
pedagožka;Q1231865
pediatr;Q1919436
pediatrička;Q1919436
pedolog;Q28378128
pedoložka;Q28378128
penitenciář;Q3899085
performer;Q10774753
perinatolog;Q66041138
perkusionista;Q4351403
perkusionistka;Q4351403
personalistika;Q1056396
petrolog;Q19356817
petroložka;Q19356817
pikenýr;Q1778520
pilot;Q2095549
pilotka;Q2095549
písmolijec;Q2249955
písničkář;Q488205
písničkářka;Q488205
pivovarník;Q836904
plachtář;Q549237
pneumolog;Q24017632
pneumoložka;Q24017632
poddůstojník;Q158950
podjáhen;Q1056310
podkovář;Q694579
podkovářka;Q694579
podnikatel;Q131524
podnikatelka;Q131524
pohádkář;Q4421425
pohodný;Q307732
pokladnice;Q1735282
pokojská;Q833860
pokrývač;Q552378
pokrývačka;Q552378
policista;Q384593
policistka;Q384593
pólista;Q13218361
politička;Q82955
politik;Q82955
politolog;Q1238570
politoložka;Q1238570
polonista;Q20179720
polyglot;Q323081
polygraf;Q2330979
pomolog;Q28319434
ponocný;Q7973168
ponorkář;Q3492027
ponorkářka;Q3492027
porodník;Q13638192
poslanec;Q1055894
