_id,151a
ge128410,Blanský les (Česko : pohoří)
ge128411,"Velký Blaník (Vlašimská pahorkatina, Česko : hora : oblast)"
ge128412,Blízký východ
ge128413,Braniborsko (Německo)
ge128414,Brno (Česko : oblast)
ge128415,"Broumov (Náchod, Česko : oblast)"
ge128416,Broumovské stěny (Česko)
ge128417,Bruntál (Česko : oblast)
ge128418,"Bubeneč (Praha, Česko)"
ge128421,Břeclav (Česko : oblast)
ge128422,"Březiněves (Praha, Česko)"
ge128423,"Budy (Křivoklát, Česko)"
ge128424,Cevenny (Francie : pohoří)
ge128426,Chránená krajinná oblasť Biele Karpaty (Slovensko)
ge128428,"Malechovice (Libošovice, Česko)"
ge128429,Piava (Itálie : řeka : oblast)
ge128430,"Terezín (Kunžak, Česko)"
ge128432,Chráněná krajinná oblast Orlické hory (Česko)
ge128433,Dalsland (Švédsko)
ge128434,Kostelec nad Černými lesy (Česko : oblast)
ge128435,Raron (Švýcarsko)
ge128436,Göcek (Turecko)
ge128437,Safranbolu (Turecko)
ge128438,Havlíčkova Borová (Česko)
ge128439,Týnec nad Sázavou (Česko : oblast)
ge128441,"Terezín (Hodonín, Česko)"
ge128442,Chráněná krajinná oblast Blanský les (Česko)
ge128443,Chráněná krajinná oblast Broumovsko (Česko)
ge128444,Chráněná krajinná oblast Bílé Karpaty (Česko)
ge128445,Chráněná krajinná oblast Jeseníky (Česko)
ge128446,Chráněná krajinná oblast Kokořínsko (Česko)
ge128447,Chráněná krajinná oblast Křivoklátsko (Česko)
ge128448,Chráněná krajinná oblast Labské pískovce (Česko)
ge128449,Chráněná krajinná oblast Litovelské Pomoraví (Česko)
ge128450,Chráněná krajinná oblast Pálava (Česko)
ge128451,Chráněná krajinná oblast Třeboňsko (Česko)
ge128452,Děčínské stěny (Česko)
ge128453,Chráněná krajinná oblast Šumava (Česko)
ge128454,Chráněná krajinná oblast Železné hory (Česko)
ge128455,Chráněná krajinná oblast Český kras (Česko)
ge128456,Chráněná krajinná oblast Český ráj (Česko)
ge128457,"Terezín (Sobotín, Česko)"
ge128458,Cieszyn (Polsko)
ge128459,Curych (Švýcarsko)
ge128460,Pobřeží slonoviny
ge128461,Dauphinské Alpy (Francie : pohoří)
ge128462,Dobšinská ledová jeskyně (Slovensko)
ge128463,Dodekanés (Řecko : souostroví)
ge128464,Rapotín (Česko)
ge128465,Dolomity (Itálie : pohoří)
ge128466,Domažlice (Česko : oblast)
ge128467,Durynsko (Německo)
ge128468,Podyjí (Česko)
ge128469,Dálný východ
ge128470,"Terezín (Radenín, Česko)"
ge128471,Děčín (Česko : oblast)
ge128472,Děčínská vrchovina (Česko a Německo)
ge128473,Estonsko
ge128474,Radenín (Česko)
ge128475,České Horácko (Česko)
ge128476,Evropa střední a východní
ge128477,Falklandy (Velká Británie : souostroví)
ge128478,Francouzské středohoří (Francie)
ge128479,Štýrský Hradec (Rakousko)
