name_item,name,gender,concatenated
Q17747314,Ružena,female,Ružena_female
Q4963627,Martina,female,Martina_female
Q21369263,Július,male,Július_male
Q16161911,Agnieszka,female,Agnieszka_female
Q1985538,Georg,male,Georg_male
Q3447666,Leni,female,Leni_female
Q16898983,Antonius,male,Antonius_male
Q632842,Hans,male,Hans_male
Q2018484,Heinrich,male,Heinrich_male
Q69378385,Svatomír,male,Svatomír_male
Q69378438,Šebestián,male,Šebestián_male
Q854739,Jolana,female,Jolana_female
Q141520,Liane,female,Liane_female
Q1042460,Rajmund,male,Rajmund_male
Q13441279,Maroš,male,Maroš_male
Q18220903,Jan,female,Jan_female
Q16420967,Louisa,female,Louisa_female
Q69379470,Zdenek,male,Zdenek_male
Q18199028,Klara,female,Klara_female
Q38038024,Olga,female,Olga_female
Q933726,Roman,male,Roman_male
Q1035642,Hermes,male,Hermes_male
Q14753732,Nicole,female,Nicole_female
Q20000745,Merita,female,Merita_female
Q15857835,Gražina,female,Gražina_female
Q1855995,Otmar,male,Otmar_male
Q16002135,Aiga,female,Aiga_female
Q16868070,Félix,male,Félix_male
Q18343247,Liz,female,Liz_female
Q35004028,Irina,female,Irina_female
Q101512829,भारत,male,भारत_male
Q21066004,Silvestr,male,Silvestr_male
Q22670354,Vavřinec,male,Vavřinec_male
Q20000228,Neva,female,Neva_female
Q15282046,Dubravka,female,Dubravka_female
Q2800528,Severin,male,Severin_male
Q68769231,Světlana,female,Světlana_female
Q1930213,Michail,male,Michail_male
Q1009550,Jiřina,female,Jiřina_female
Q18071263,Annette,female,Annette_female
Q7929930,Viktoriya,female,Viktoriya_female
Q12272404,Асен,male,Асен_male
Q20000794,Bohdana,female,Bohdana_female
Q18638754,Joannes,male,Joannes_male
Q379029,Salome,female,Salome_female
Q15732792,Pavol,male,Pavol_male
Q12805884,Vlada,female,Vlada_female
Q4308518,Mustafa,male,Mustafa_male
Q18039679,Othmar,male,Othmar_male
Q3869139,Myrna,female,Myrna_female
Q48688401,Vojen,male,Vojen_male
Q18760871,Mauritz,male,Mauritz_male
Q18001873,Emmanuel,male,Emmanuel_male
Q20635287,Marián,male,Marián_male
Q18563993,Michal,male,Michal_male
Q3623461,Arnold,male,Arnold_male
Q15277196,Erich,male,Erich_male
Q94989549,Jindra,,Jindra_unisex
Q17520944,Marc,male,Marc_male
Q96757542,Jiljí,male,Jiljí_male
Q9373661,Wiesława,female,Wiesława_female
Q2639538,Hilde,female,Hilde_female
Q28133201,Анастас,male,Анастас_male
Q12794787,Leopoldina,female,Leopoldina_female
Q1012152,Gordana,female,Gordana_female
Q21069169,Amjad,male,Amjad_male
Q18398186,Augustin,male,Augustin_male
Q19816203,Brigita,female,Brigita_female
Q21069406,Gejza,male,Gejza_male
Q21069411,Vincenc,male,Vincenc_male
Q21069440,Tadeáš,male,Tadeáš_male
Q7038725,Dolores,female,Dolores_female
Q25393349,Stela,female,Stela_female
Q837124,Silvia,female,Silvia_female
Q15238167,Tony,unisex,Tony_unisex
Q664915,Leander,male,Leander_male
Q16280379,Olivier,male,Olivier_male
Q69511136,선용,male,선용_male
Q20205104,Xaverius,male,Xaverius_male
Q4391614,Paulus,male,Paulus_male
Q2897866,Louis,unisex,Louis_unisex
Q807087,Baptist,male,Baptist_male
Q18535317,Vladimír,male,Vladimír_male
Q2472988,Udalrich,male,Udalrich_male
Q602138,Witold,male,Witold_male
Q830350,Ivan,male,Ivan_male
Q842544,Magdalena,female,Magdalena_female
Q1031425,Ambrož,male,Ambrož_male
Q54518525,Johann Joseph,male,Johann Joseph_male
Q2218095,Catherine,female,Catherine_female
Q19688775,Thorsten,male,Thorsten_male
Q15786788,Arild,male,Arild_male
Q6753023,Manuela,female,Manuela_female
Q1326129,Thaddeus,male,Thaddeus_male
Q2800558,Shane,male,Shane_male
Q429948,Laura,female,Laura_female
Q18190928,Brigitta,female,Brigitta_female
Q47005721,Drahoslava,female,Drahoslava_female
Q59133398,Theodorik,male,Theodorik_male
Q54087469,Jiří Antonín,male,Jiří Antonín_male
Q21074403,Herma,female,Herma_female
Q1820274,Gary,male,Gary_male
Q18748567,Zdeňka,female,Zdeňka_female
Q12793537,Katka,female,Katka_female
Q3806969,Giovanna,female,Giovanna_female
Q364753,Carlos,male,Carlos_male
Q168280,Dušan,male,Dušan_male
Q12173670,Jan,male,Jan_male
Q21288075,Kristýna,female,Kristýna_female
Q946969,Kamil,male,Kamil_male
Q13028078,Jeffrey,male,Jeffrey_male
Q16154201,Aneta,female,Aneta_female
Q12797301,Narcisa,female,Narcisa_female
Q18020611,Gottlieb,male,Gottlieb_male
Q4926428,Bohuš,male,Bohuš_male
Q4926443,Blahoslav,male,Blahoslav_male
Q3847963,Marilla,female,Marilla_female
Q4926562,Ctirad,male,Ctirad_male
Q1136594,Linda,female,Linda_female
Q14936243,Susan,female,Susan_female
Q18177153,Monika,female,Monika_female
Q20898936,Mindy,female,Mindy_female
Q4926514,Basil,male,Basil_male
Q15731689,Ульяна,female,Ульяна_female
Q15731689,Уляна,female,Уляна_female
Q19688725,Omid,male,Omid_male
Q521681,Sebald,male,Sebald_male
Q17317988,Екатерина,female,Екатерина_female
Q17318005,Katarzyna,female,Katarzyna_female
Q11885925,Ossi,male,Ossi_male
Q18177338,Reinhard,male,Reinhard_male
Q10514602,Terry,unisex,Terry_unisex
Q27628670,Aladdin,male,Aladdin_male
Q12001234,Věnceslav,male,Věnceslav_male
Q4926833,Herbert,male,Herbert_male
Q903664,Demeter,male,Demeter_male
Q1759001,Milena,female,Milena_female
Q21146824,Fridrich,,Fridrich_unisex
Q18920951,Baptista,male,Baptista_male
Q2102316,Nancy,female,Nancy_female
Q19754236,Tadeusz,male,Tadeusz_male
Q1084472,Christopher,male,Christopher_male
Q21485499,Randolph,male,Randolph_male
Q1235797,Dolly,female,Dolly_female
Q11682058,Gedeon,male,Gedeon_male
Q18515951,Uwe,male,Uwe_male
Q18133228,Maximilian,male,Maximilian_male
Q12790735,Hanka,female,Hanka_female
Q12002730,Věroslav,male,Věroslav_male
Q18352986,Bedřiška,female,Bedřiška_female
Q974853,Nabil,male,Nabil_male
Q3341832,Νίκος,male,Νίκος_male
Q20000035,Lilli,female,Lilli_female
Q20059643,Bohumila,female,Bohumila_female
Q846741,Marta,female,Marta_female
Q20942068,Федір,male,Федір_male
Q2588576,Wolf,male,Wolf_male
Q20968145,Dominicus,male,Dominicus_male
Q1158596,Fritz,male,Fritz_male
Q38202435,Knox,male,Knox_male
Q1894521,Mareike,female,Mareike_female
Q16279062,Martha,female,Martha_female
Q18245781,Bill,male,Bill_male
Q20000499,Katerina,female,Katerina_female
Q16542374,Clifford,male,Clifford_male
Q28872045,Darek,male,Darek_male
Q12791745,Iza,female,Iza_female
Q168932,Zdenko,male,Zdenko_male
Q1818817,Mathias,male,Mathias_male
Q20798843,Rastislav,male,Rastislav_male
Q18638465,Todd,male,Todd_male
Q776529,Michaela,female,Michaela_female
Q221978,Bernhard,male,Bernhard_male
Q15303200,Ilda,female,Ilda_female
Q15897419,Pedro,male,Pedro_male
Q16420681,Benoni,male,Benoni_male
Q903741,Ingrid,female,Ingrid_female
Q20002188,Jano,male,Jano_male
Q987115,Dora,female,Dora_female
Q17483971,Matthäus,male,Matthäus_male
Q1749410,Nelly,female,Nelly_female
Q15304232,Františka,female,Františka_female
Q21144165,Fina,female,Fina_female
Q30315316,Matěj,male,Matěj_male
Q401836,Edmund,male,Edmund_male
Q2923176,Božo,male,Božo_male
Q1734206,Karolina,female,Karolina_female
Q11763130,Lubomira,female,Lubomira_female
Q16275021,Benedictus,male,Benedictus_male
Q1245713,Ralf,male,Ralf_male
Q18606276,Dionysius,male,Dionysius_male
Q88543122,Konstantina,female,Konstantina_female
Q18147462,Theresia,female,Theresia_female
Q168233,Zoe,female,Zoe_female
Q17485140,Matúš,male,Matúš_male
Q19688764,Siegmund,male,Siegmund_male
Q13365715,Lucy,female,Lucy_female
Q1770777,Kryštof,male,Kryštof_male
Q1675463,Gilbert,male,Gilbert_male
Q16290534,Lilly,female,Lilly_female
Q20087975,Kuba,male,Kuba_male
Q12781462,Ľuboslav,male,Ľuboslav_male
Q11877494,Ela,female,Ela_female
Q16277185,Ive,male,Ive_male
Q15899814,Ondrej,male,Ondrej_male
Q20631450,Josephus,male,Josephus_male
Q773765,Stella,female,Stella_female
Q18607880,Henning,male,Henning_male
Q2660560,Edgar,male,Edgar_male
Q15783513,Anke,female,Anke_female
Q15727746,Fabien,male,Fabien_male
Q18760860,Marianne,female,Marianne_female
Q18145769,Oskar,male,Oskar_male
Q4642,Marcus,male,Marcus_male
Q745888,Zdenka,female,Zdenka_female
Q1334508,Elżbieta,female,Elżbieta_female
Q1865968,Lenka,female,Lenka_female
Q20064912,Зінаіда,female,Зінаіда_female
Q28859429,Magdaléna,female,Magdaléna_female
Q617272,Josefa,female,Josefa_female
Q18156206,Konrád,male,Konrád_male
Q804338,Blanka,female,Blanka_female
Q16428906,Thomas,male,Thomas_male
Q23309993,Bartoloměj,male,Bartoloměj_male
Q16279824,Muir,male,Muir_male
Q1821009,Leszek,male,Leszek_male
Q6081128,Alexandra,female,Alexandra_female
Q19688856,Jindřiška,female,Jindřiška_female
Q86442893,Božetěch,male,Božetěch_male
Q5486209,Harriet,female,Harriet_female
Q15897708,Petrus,male,Petrus_male
Q7928397,Viera,female,Viera_female
Q22328803,Duchoslav,male,Duchoslav_male
Q7385728,Valeria,female,Valeria_female
Q659041,Aloisia,female,Aloisia_female
Q19819812,Les,male,Les_male
Q292691,Ernst,male,Ernst_male
Q16275193,Charlie,unisex,Charlie_unisex
Q25999604,Jacob,male,Jacob_male
Q15887853,Timoteus,male,Timoteus_male
Q6298851,André,male,André_male
Q388968,Şerif,male,Şerif_male
Q924782,Attila,male,Attila_male
Q11122389,Johann,male,Johann_male
Q10989273,Johan,male,Johan_male
Q19688756,Rupert,male,Rupert_male
Q13728754,Hubert,male,Hubert_male
Q16908634,Henricus,male,Henricus_male
Q16275302,Darina,female,Darina_female
Q768241,Augustina,female,Augustina_female
Q1255239,Dragutin,male,Dragutin_male
Q19997427,Venant,male,Venant_male
Q18946707,Sergej,male,Sergej_male
Q19997607,Heřman,male,Heřman_male
Q13221634,Oldřich,male,Oldřich_male
Q262776,Nepomuk,male,Nepomuk_male
Q20859477,Ernestus,male,Ernestus_male
Q3841018,Lynn,unisex,Lynn_unisex
Q1044619,Carolus,male,Carolus_male
Q4927313,Maciej,male,Maciej_male
Q18252114,Engelbert,male,Engelbert_male
Q19838224,Nikolaj,male,Nikolaj_male
Q14316098,Inez,female,Inez_female
Q668885,Harry,male,Harry_male
Q1114146,Clara,female,Clara_female
Q69360507,Ferdi,male,Ferdi_male
Q2958359,Charles,male,Charles_male
Q1559648,Gösta,male,Gösta_male
Q13553631,Janet,female,Janet_female
Q19998723,Štěpán,male,Štěpán_male
Q1688617,Евгений,male,Евгений_male
Q20738810,Godefridus,male,Godefridus_male
Q3215140,Louise,female,Louise_female
Q1762022,Johnny,male,Johnny_male
Q33101202,Jozefína,female,Jozefína_female
Q33101200,Jósefína,female,Jósefína_female
Q33101404,Anděla,female,Anděla_female
Q240931,Edwin,male,Edwin_male
Q2524315,Radoslav,male,Radoslav_male
Q21296871,Lubomír,male,Lubomír_male
Q21296876,Ľubomír,male,Ľubomír_male
Q21296882,Ljubomir,male,Ljubomir_male
Q11762548,Longina,female,Longina_female
Q12000546,Simona,female,Simona_female
Q18031774,Eduard,male,Eduard_male
Q1096053,Daniela,female,Daniela_female
Q3564245,Vlastimil,male,Vlastimil_male
Q60494104,Danuše,female,Danuše_female
Q20001035,Salamon,male,Salamon_male
Q14899148,Natalie,female,Natalie_female
Q1096368,Ilka,female,Ilka_female
Q2123119,Quido,male,Quido_male
Q19688413,Erhart,male,Erhart_male
Q20740353,Alphonsus,male,Alphonsus_male
Q51844636,Simoneta,female,Simoneta_female
Q476059,Roswitha,female,Roswitha_female
Q20000462,Jehuda,male,Jehuda_male
Q20000831,Savo,male,Savo_male
Q3887165,Octavian,male,Octavian_male
Q12792774,Joža,male,Joža_male
Q4712286,Albertus,male,Albertus_male
Q20643430,Hermína,female,Hermína_female
Q16727197,Bernadeta,female,Bernadeta_female
Q666578,Anna,female,Anna_female
Q4926961,Joachim,male,Joachim_male
Q2528644,Vitas,male,Vitas_male
Q13258171,Alex,unisex,Alex_unisex
Q21030083,Richardus,male,Richardus_male
Q1242555,Hugo,male,Hugo_male
