place,QID
Vídni,Q1741
Heidelbergu,Q2966
Hluku,Q1013864
Horních Počernicích,Q23820229
Charkově,Q42308
Chudenicích,Q2503857
Istanbulu,Q406
Jistebnici u Tábora,Q2702822
Klenčí pod Čerchovem,Q1774142
Kněževsi u Rakovníka,Q1125339
Lázních Bělohradě,Q1017287
Luži,Q1020927
Myslibořicích,Q165959
Peruci,Q1735575
Rajhradě u Brna,Q1279557
Rovensku pod Troskami,Q2164902
Sezemicích u Pardubic,Q1027617
Slavonicích,Q1727398
Smržovce,Q1936067
Staré Říši,Q2241230
Suchdole nad Lužnicí,Q2305015
Svratce,Q1853577
Tanvaldu,Q149105
Užhorodu,Q156711
Velimi,Q2361360
Veltrusích,Q240986
Zásmukách,Q247006
Zašové,Q167952
Zlatých Moravcích,Q207226
Želivi,Q164505
Buchlovicích,Q998679
Čechách pod Kosířem,Q2084328
Čerčanech,Q340064
Čimelicích,Q1925206
Drahotuších,Q10268723
Habrech,Q1566973
Hrotovicích,Q1632454
Hukvaldech,Q603161
Jaroměřicích u Jevíčka,Q2351819
Karlsruhe,Q1040
Kateřinkách u Opavy,Q12028976
Kuklenách,Q12031853
Louňovicích pod Blaníkem,Q164524
Lublani,Q437
Lysicích,Q1284878
Melbourne,Q3141
Mikulčicích,Q1017815
Moravci,Q72408
Neapoli,Q2634
Novém Hradci Králové,Q12041392
Odrách,Q1018329
Paskově,Q2010709
Pasově,Q4190
Pavlínově,Q93406
Petrovicích u Rakovníka,Q2080797
Petřvaldě,Q2523826
Plánici u Klatov,Q639814
Postoloprtech,Q1019831
Poštorné,Q199202
Předklášteří u Tišnova,Q1268228
Přílepech u Holešova,Q693544
Rakovníce,Q985465
Rožňavě,Q267888
Stádlci u Tábora,Q1977388
Starém Bohumíně,Q3487873
Stockholmu,Q1754
Stodě,Q1011066
Strážově,Q580155
Strunkovicích nad Blanicí,Q288709
Tanvaldě,Q149105
Toušeni,Q1879134
Trhové Kamenici,Q1809708
Zastávce u Brna,Q148299
Zdíkově,Q169283
Athénách,Q1524
Bruntálu,Q994280
Budišově,Q1001489
Cambridge,Q350
Červené Řečici,Q339862
Dobrovicích,Q1028040
Dolních Počernicích,Q3489932
Haagu,Q36600
Holicích v Čechách,Q1624693
Horní Branné u Jilemnice,Q1628632
Chlumu u Třeboně,Q265518
Chrástu u Plzně,Q1088954
Kolovči,Q2703669
Kolovči u Domažlic,Q2703669
Komárově u Hořovic,Q2463056
koncentračním táboře Buchenwald,Q152802
Kuklenách u Hradce Králové,Q12031853
Lanžhotě,Q946780
Lnářích,Q528071
Mirošově u Rokycan,Q959574
Modre,Q596044
Montrealu,Q340
Moravském Písku,Q1785594
Novém Bohumíně,Q3487881
Petrohradu,Q2065624
Postřelmově,Q970522
Průhonicích,Q2562449
Stránce u Mělníka,Q1680067
Strmilově,Q937688
Suchém Vrbném,Q8311207
Svatobořicích,Q12057333
Sydney,Q3130
Šťáhlavech,Q392861
Trebišově,Q256301
Tübingenu,Q3806
Velkých Pavlovicích,Q1028003
Veroně,Q2028
Věrovanech,Q2520120
Vrchotových Janovicích,Q1478830
Vyškově na Moravě,Q954569
Žacléři,Q393326
Berehovu,Q146497
Blažovicích,Q883280
Bohdanči u Pardubic,Q920634
