place,QID
Malobratřicích,Q12035010
Malšíně,Q257992
Malých Nepodřicích,Q12035106
Malých Žernosekách,Q1470981
Manerově,Q1436554
Mankovicích,Q2056452
Mariánském Týnci,Q12035571
Masákově Lhotě,Q12036034
Máslojedech,Q1904994
Mazelově,Q1914714
Mcelích,Q1915412
Mečeříži,Q2318879
Měchenicích,Q1923021
Měchnově,Q12039296
Melči,Q2219408
Měníně,Q1639245
Meziměstí,Q1150268
Mikovicích,Q12036884
Míkovicích,Q12039216
Mikulášovicích,Q1756925
Milostíně,Q947976
Miloticích nad Bečvou,Q1782712
Miskovicích,Q2696548
Mláce,Q12038336
Mladoňově,Q12038286
Mokrosukách,Q2455604
Molitorově,Q12038540
Moravské Chrastové,Q12038646
Moravské Svratce,Q12038650
Mšeci,Q1960514
Nahošovicích,Q1783015
Naloučanech,Q166237
Nalžovských Horách,Q1014994
Náramči,Q166049
Narysově,Q2048593
Násedlovicích,Q2701028
Nedakonicích,Q2405050
Nedašově,Q1122277
Nemanicích,Q1977108
Nemoticích,Q1977267
Nestanicích,Q12040762
Nesuchyni,Q2028802
Neštěmicích,Q12040887
Nikolčicích,Q1023877
Nížkově,Q72692
Nosálovicích,Q12041092
Noutonicích,Q6670296
Nové Peci,Q1818285
Novém Čestíně,Q12041445
Novém Jimramově,Q72375
Novosedlech nad Nežárkou,Q582049
Nových Hutích,Q181746
Nových Ouholicích,Q12041342
Nových Zámkách,Q1294705
Obděnicích,Q12041891
Obřanech,Q1669885
Ohavči,Q2016409
Ohnišově,Q2383096
Ohrobci,Q2479240
Okoři,Q2481935
Okrouhlé Radouni,Q2017506
Onomyšli,Q2150506
Opatovicích nad Labem,Q585138
Opolanech,Q2012398
Orasíně,Q12042846
Orličkách,Q581035
Oseku nad Bečvou,Q1782702
Oselcích,Q2001474
Osíčku,Q570846
Ostředku,Q2696182
Palačově,Q10856811
Panenských Břežanech,Q1529260
Pardubičkách,Q12043820
Partutovicích,Q1818279
Pasohlávkách,Q965616
Pavlicích,Q302216
Pavlišově,Q12044373
Pavlovicích u Přerova,Q1344684
Pečicích,Q15176653
Perneku,Q12044638
Perninku,Q927902
Plačicích,Q12045571
Plavech,Q2535444
Podlužanech,Q12045908
Podůlší,Q2220097
Pohoří na Šumavě,Q2100647
Pokraticích,Q12046150
Polničce,Q94657
Polubném,Q12046261
Postřižíně,Q2696664
Poteči,Q776127
Potěhách,Q2009225
Práchni,Q12047379
Pramenech,Q2097168
Prapořišti,Q2107824
Prašném Újezdě,Q12046896
Prčici,Q10817351
Probulově,Q2341396
Proseči pod Ještědem,Q2113292
Prostředních Svincích,Q10817363
Přebuzi,Q431739
Předslavi,Q2436543
Přehvozdí,Q372856
Přemyslovicích,Q2184316
Příkosicích,Q1879776
Přimdě,Q1019844
Přísečné,Q201223
Ptýrově,Q1276543
Pulicích,Q12047595
Rábu,Q12050529
Račiněvsi,Q2067287
Rakovicích,Q1778678
Rejdicích,Q12049147
Rejštejně,Q2034281
Rodkově,Q2063958
Rohovládově Bělé,Q428455
Rozhovicích,Q2521694
Rožmitále na Šumavě,Q2097200
Rudlicích,Q1962322
Růžďce,Q1022331
Rybné nad Zdobnicí,Q2465318
Rychnově nad Malší,Q12050482
Řečanech nad Labem,Q2464354
Ředhošti,Q10513455
Řehořově,Q10513549
Řešetově Lhotě,Q10513836
Řimicích,Q9395246
Samechově,Q12050881
Samotiškách,Q960546
Satalicích,Q3509354
Sazovicích,Q651672
Semechnicích,Q2700795
Sibřině,Q2030200
Sivicích,Q366895
Skorošicích,Q1017237
Skrýchově u Opařan,Q12054526
Skvrňanech,Q12054598
Skyšicích,Q12054603
Slatinách,Q593451
Slavném,Q12054691
Slížanech,Q12054966
Sloupu v Čechách,Q603503
Smilových Horách,Q2318801
Smržicích,Q2065793
Sobčicích,Q2697539
Soběnově,Q1928302
Sobíně,Q2795720
Sobotovicích,Q2002910
Solanci pod Soláněm,Q12055304
Spech,Q12055742
Spešově,Q2300618
Srubech,Q1962889
Staré Hlíně,Q12056133
Staré Lysé,Q960907
Staré Roli,Q12056151
Staré Vožici,Q12056161
Starém Petříně,Q654165
Starém Poddvorově,Q961424
Starém Sedlišti,Q788911
Stařechovicích,Q1970708
Staříči,Q597745
Stěbořicích,Q2402935
Stehelčevsi,Q2704424
Stěžerách,Q2701897
Stodůlkách,Q2219104
Stolíně,Q12056462
Stračově,Q2299312
Straňanech,Q8552489
Straníku,Q10856830
Strážku,Q2063949
Strměchách,Q12056579
Struhařích,Q12056625
Stružnici,Q1503642
Střeni,Q1968683
Střevači,Q2420887
Stříbrnicích,Q12057078
Stříbřeci,Q2218040
Stříteži nad Ludinou,Q1543682
Studené Loučce,Q12056724
Sudkově,Q2031103
Suché Lozi,Q1727857
Suchých Lazcích,Q12057175
Sulíkově,Q2300627
Svaté,Q2174620
Svémyslicích,Q2608339
Svobodě nad Úpou,Q677551
Svobodných Hamrech,Q12057652
Svoru,Q1264097
Synalově,Q1329103
Šafově,Q390917
Šebkovicích,Q246263
Ševětíně,Q391492
Štěměchách,Q246203
Štěpanické Lhotě,Q10425506
Štěpánkovicích,Q1978856
Šternově,Q4169663
Štítině,Q392532
Štolmíři,Q10421554
Šumvaldě,Q392688
Tachlovicích,Q2200987
Tatcích,Q1229228
Tážalech,Q9363801
Tečovicích,Q1789569
Těchoníně,Q1894637
Těnovicích,Q12060206
Těpeřích,Q12060209
Těšanech,Q1660306
Tišicích,Q633670
Tištíně,Q616832
Tochovicích,Q2698079
Tomicích,Q660737
Touchovicích,Q12059427
Touškově,Q12059442
Troskovicích,Q2097183
Třebčíně,Q9363911
Třebějicích,Q2259116
Třebestovicích,Q2305007
Třeboradicích,Q3489924
Třebovli,Q2185325
Třešňovém Újezdci,Q12060367
Tuklatech,Q1119932
Tursku,Q2116003
Tvoršovicích,Q12060021
Tvořihrázi,Q2197197
Týnečku,Q9363826
Ubušínku,Q1960972
Údrnicích,Q2193693
Uhelné Příbrami,Q164462
Uhersku,Q1406486
Uhřičicích,Q1782189
Újezdu u Brna,Q330055
Únanově,Q2269581
Unčovicích,Q9366867
Urbanově,Q246280
Určicích,Q2637793
Útušicích,Q330522
Vadíně,Q11867915
Vašírově,Q11878058
Vážanech nad Litavou,Q1974393
Včelákově,Q2511069
Vejvanově,Q2301664
Velenovech,Q11878323
Velké Chyšce,Q1185013
Velké Roudce,Q11878657
Velké Rovné,Q11878660
Velké Úpě,Q2512464
Velkém Beranově,Q963341
Velkém Borku,Q2535152
Velkém Chlumci,Q2696678
Velkém Přítočně,Q2538429
Velkých Albrechticích,Q1973864
Velkých Chvalovicích,Q11878916
Vělopolí,Q661753
Veverské Bítýšce,Q149320
Věžovaté Pláni,Q2097193
Víceměřicích,Q1968770
Vícemilicích,Q11989371
Vidnavě,Q1025162
Víchové nad Jizerou,Q958081
Viničných Šumicích,Q731530
Víru,Q94197
Višňovém,Q671535
Vlasaticích,Q175893
Vlastějovicích,Q2210017
Vlčkové,Q957753
Vlčkovicích v Podkrkonoší,Q1412517
Vodslivech,Q2417606
Vochově,Q2050260
Vojicích,Q11925786
Vraném nad Vltavou,Q164468
Vranové,Q239968
Vrapicích,Q11937953
Vrátkově,Q2100561
Vrbčanech,Q2696219
Vrbně,Q11940148
Vrčeni,Q1321693
Vrcholtovicích,Q11940960
Vrchoslavicích,Q432216
Vrchovinách,Q11941181
Vroutku,Q1431223
Vřeskovicích,Q636556
Všemině,Q1969944
Všenorech,Q2470113
Všetulech,Q12006791
Výprachticích,Q2350565
Vyskři,Q1663068
Vysoké Srbské,Q729335
Vysokém,Q93474
Vysokém Chvojně,Q929050
Zabrušanech,Q139076
Zadní Třebani,Q2049472
Zakřanech,Q144898
Zálezlicích,Q2657226
Zátoru,Q377323
Zavidově,Q2374162
Zbuzanech,Q2249194
Zbyslavicích,Q1838472
Zdemyslicích,Q2572042
Zderadinách,Q10857804
Zdibech,Q169129
Zduchovicích,Q2199240
Zelenči,Q164457
Zelinkovicích,Q9390009
Zlámance,Q10861148
Zlatkově,Q207187
Zlosyni,Q2218406
Zvíkovském Podhradí,Q787284
Žákách,Q2187626
Žďáru nad Orlicí,Q394436
Žehrově,Q10272862
Želechovicích nad Dřevnicí,Q393493
Želetavě,Q126564
Želí,Q10281979
Žeranovicích,Q2194572
Žermanicích,Q174079
Žihobcích,Q2703617
Žíšově,Q10296599
Žitenicích,Q394126
Žlutavě,Q394236
Albrechticích nad Vltavou,Q1894841
Albrechticích v Jizerských horách,Q1343592
Anníně,Q10853517
Antonce,Q10853742
Arnoštovicích,Q10856453
Artolci,Q713799
Bahně,Q10859843
Balinách,Q804995
Baníně,Q807040
Barchovicích,Q807940
Bartoňově,Q11059667
Bartošovicích,Q809582
Bavorech,Q736175
Bednárci,Q813932
Bělči nad Orlicí,Q183211
Bělé nad Radbuzou,Q1022054
Bělé pod Pradědem,Q1021072
Bělotíně,Q1022044
Bělově,Q1022047
Benecku,Q816825
Benešově Hoře,Q11126811
Běruničkách,Q11706816
Besednici,Q829723
Běstovicích,Q2350465
Běstvině,Q1022073
Běštíně,Q2568479
Bezděčí,Q11142090
Bezděkově nad Metují,Q853474
Bezdězu,Q853522
Bezně,Q854433
Bežerovicích,Q11144038
Bílanech,Q11706471
Bílavsku,Q11706472
Bílé Lhotě,Q1019537
Bílém Újezdu,Q2585066
Bílenicích,Q11706476
Bilině,Q1193256
Bílkovicích,Q2455414
Bílku,Q11706473
Bílukách,Q11706494
Bílých Poličanech,Q780793
Bítovanech,Q2201492
Blatcích,Q882106
Blatničce,Q882127
Blažově,Q9174302
Blehově,Q11159596
Blišicích,Q11159960
Bližanovech,Q11159970
Blšanech,Q887281
Bobnicích,Q888786
Bocanovicích,Q888969
Boháňce,Q628047
Boharyni,Q2720375
Bohatých Málkovicích,Q890743
Bohdalci,Q578804
Bohuslavicích nad Vláří,Q890985
Bohušicích,Q126580
Bojmanech,Q11223753
Bolaticích,Q2249399
Bolechovicích,Q4939139
Bolešinách,Q2289585
Borači,Q2003078
Bordovicích,Q1807638
Borkovicích,Q536906
Borové Ladě,Q835344
Borovníku,Q894111
Borovsku,Q11232944
Boršicích u Blatnice,Q187190
Boubské,Q11236192
Božeticích,Q691327
Brandýse,Q11244528
Branicích,Q690542
Braníčkově,Q11246719
Braníku,Q2499127
Branově,Q2698393
Branticích,Q2364648
Bratrouchově,Q11247912
Bravanticích,Q182091
Brněnských Ivanovicích,Q11343404
Brnířově,Q921799
Brodě,Q11344294
Brozanech,Q11348206
Brtči,Q11353432
Brtníkách,Q11353572
Brťoví,Q997273
Břasech,Q2523741
Břestku,Q1022134
Břetislavi,Q11706852
Břevništi,Q11706902
Břevnově,Q2446033
Březí u Týna nad Vltavou,Q8558956
Březníku,Q126533
Březůvkách,Q776729
Břežanech nad Ohří,Q11707023
Bříství,Q1022226
Bublavě,Q2092620
Buděticích,Q2305547
Budíkovicích,Q4924972
Budiměřicích,Q1001466
Budišově nad Budišovkou,Q1001501
Budišovicích,Q2523131
Bujanově,Q1003179
Bukovině u Čisté,Q587122
Bukovině u Pecky,Q11363370
Bukovně,Q2110499
Bukovníku,Q1996710
Buřanech,Q11706254
Buzkově,Q8553118
Býkovci,Q11706665
Býkově,Q11706664
Bynině,Q1018551
Bystré nad Jizerou,Q1018685
Bystročicích,Q2350755
Bystrovanech,Q222209
Byškovicích,Q11706391
Cakově,Q11707251
Caparticích,Q11722316
Cehnicích,Q264347
Cerhýnkách,Q11722884
Cetorazi,Q390985
Cibotíně,Q11730800
Cínovci,Q1150834
Císařské Kuchyni,Q11773934
Citonicích,Q517671
Cítově,Q1150851
Cotkytli,Q1023458
Ctiměřicích,Q2704230
Čachotíně,Q2520108
Čakovci,Q8556565
Čankově,Q11169398
Čankovicích,Q2276313
Čáslavicích,Q128768
Čáslavkách,Q11386210
Častrově,Q337717
Čehovicích,Q2520921
Čejově,Q164583
Čelákovech,Q11170955
Čelčicích,Q966096
Čelině,Q11170844
Čepřovicích,Q338719
Čerazi,Q11171549
Čermákovicích,Q2203559
Černé Hati,Q11172045
Černé za Bory,Q11173070
Černém Dubu,Q8553343
Černěticích,Q11174662
Černuci,Q1878879
Černýšovicích,Q339561
Čertoryjích,Q9393799
Červené Hoře,Q339787
Červeném Poříčí,Q547196
Červeném Záhoří,Q11176136
Červeněvsi,Q11176698
České,Q340674
České Cikánce,Q11179166
České Čermné,Q341151
České Kubici,Q340684
České Metuji,Q340690
Českém Heršláku,Q11292502
Českých Libchavách,Q285401
Českých Zlatníkách,Q11285202
Češnovicích,Q8555375
Číčenicích,Q341822
Číčově,Q11387877
Číhošti,Q158552
Čilé,Q341519
Čímicích,Q2419958
Čisovicích,Q2619702
Čistěvsi,Q341566
Čivicích,Q11387833
Čižicích,Q2699036
Člunku,Q341603
Čtveříně,Q341684
Ďáblicích,Q1822800
Dalečíně,Q1157889
Daliměřicích,Q11774129
Děbolíně,Q11862903
Debrném,Q11774502
Debrníku,Q11774505
Debři,Q11774507
Dědince,Q1167785
Dehetné,Q11774522
Děkově,Q2698075
Deskách,Q11774646
Dešenicích,Q526887
Deštném v Orlických horách,Q1207487
Dílech,Q690484
Divácích,Q1023881
Dlažově,Q2408931
Dlouhé Stráni,Q2325437
Dlouhém Poli,Q11812578
Dlouhomilově,Q1232342
Dobešicích,Q11812709
Dobkově,Q11812717
Dobraticích,Q1233363
Dobrkově,Q11812728
Dobrkovicích,Q1233488
Dobročkovicích,Q1233562
Dobroměřicích,Q2010789
Dobroníně,Q1233524
Dobrovítově,Q2009581
Dobrši,Q1233619
Dobřenicích,Q2336671
Dobříčanech,Q11813006
Dobřichově,Q2197453
Dobříkovicích,Q11812999
Dojetřicích,Q11813907
Dolánkách u Turnova,Q12016588
Dolíně,Q11818572
Dolínku,Q11818583
Dolní Brusnici,Q1236060
Dolní Březince,Q11815385
Dolní Chřibské,Q11815558
Dolní Kalné,Q1236092
Dolní Lipce,Q9209231
Dolní Lomné,Q1236124
Dolní Nové Vsi,Q11816620
Dolní Olešnici,Q1236182
Dolní Pěně,Q1236192
Dolní Radouni,Q1236189
Dolní Rozsíčce,Q11817079
Dolní Rožínce,Q1236210
Dolní Řasnici,Q2523901
Dolní Vsi,Q11817523
Dolních Hbitech,Q968366
Dolních Hořicích,Q2418456
Dolních Chabrech,Q3499350
Dolních Libchavách,Q11816367
Dolních Marklovicích,Q3500106
Dolních Měcholupech,Q3490214
Dolních Nakvasovicích,Q11816565
Dolních Pasekách,Q730142
Dolních Ředicích,Q2349819
Dolních Slověnicích,Q8554640
Dolních Tošanovicích,Q1236230
Dolních Věstonicích,Q1075975
Dolních Zálezlech,Q1236241
Dolních Životicích,Q1236250
Dolním Adršpachu,Q11815210
Dolním Babákově,Q11815226
Dolním Dvoře,Q1236084
Dolním Jelení,Q11815979
Dolním Lánově,Q1236137
Dolním Lochově,Q2366179
Dolním Maxově,Q11816512
Dolním Městě,Q607723
Dolním Ostrovci,Q11816695
Dolním Podluží,Q971744
Dolním Žandově,Q907946
Domašově nad Bystřicí,Q1236872
Domaželicích,Q1021110
Doubici,Q662227
Doubravičce,Q1888482
Doudlebech,Q1251674
Dožicích,Q11825357
Drahanech,Q1255310
Drahelčicích,Q1914057
Drahenicích,Q391027
Drahlíně,Q2603126
Drahněticích,Q11826059
Drahobudicích,Q2144556
Drahoníně,Q1255332
Drahotěšicích,Q539683
Drahotíně,Q963024
Drážově,Q910325
Drhovli,Q2610840
Drozdicích,Q11828867
Druztové,Q2162391
Družci,Q1261498
Drysicích,Q1261650
Dřevci,Q11863131
Dřevnovicích,Q2054312
Dřítči,Q2230951
Dublovicích,Q1979828
Dunajovicích,Q1265269
Dunicích,Q2620172
Dvakačovicích,Q2184030
Dvorech nad Lužnicí,Q1268383
Dyjákovicích,Q1268709
Dyji,Q1268700
Flájích,Q915740
Fojtce,Q1435205
Fojtově,Q12016733
Františkách,Q12017756
Grabštejně,Q12018410
Grešlovém Mýtě,Q1546222
Habartově,Q1018003
Habřince,Q12018838
Hačkách,Q2495136
Haluzicích,Q1572475
Hartunkově,Q12019258
Haškovcově Lhotě,Q1592172
Havírně,Q12019309
Havřicích,Q12019313
Hejtmánkovicích,Q1601631
Helkovicích,Q12019455
Helvíkovicích,Q1604682
Heralticích,Q2175228
Herborticích,Q12019517
Heršpicích,Q1615569
Herticích,Q12019567
Heřmanicích u Oder,Q2426235
Heřmanovicích,Q605133
Hevlíně,Q954345
Hladově,Q2635345
Hlásné Třebani,Q498009
Hlavnici,Q2702197
Hlavňovicích,Q24805
Hlinné,Q1621444
Hlínovišti,Q12019834
Hlinsku pod Hostýnem,Q12019761
Hlohové,Q777431
Hlohovicích,Q302564
Hlubanech,Q12019786
Hlubočanech,Q1392379
Hlušicích,Q2700152
Hlušičkách,Q12019815
Hlušovicích,Q2341657
Hnačově,Q340132
Hněvicích,Q12019878
Hněvošicích,Q2352007
Hnojnicích,Q12019849
Hnojníku,Q614426
Hodějově,Q12019928
Hoděšovicích,Q12019935
Hodňově,Q1622768
Hodoňovicích,Q9293196
Hojovicích,Q640233
Hojsově Stráži,Q5877912
Holasovicích,Q980843
Holenicích,Q576357
Holšicích,Q12020050
Holubí Zhoři,Q12020025
Honbicích,Q2198387
Horách Matky Boží,Q12020335
Horní Brusnici,Q1628640
Horní Datyni,Q11693059
Horní Lipové,Q9293851
Horní Líštné,Q3499352
Horní Myslové,Q2100715
Horní Sloupnici,Q12020260
Horních Bučicích,Q12020147
Horních Dunajovicích,Q2222615
Horních Hrachovicích,Q12020179
Horních Chvatlinách,Q12020155
Horních Kněžekladech,Q1628670
Horních Krutech,Q2696683
Horních Měcholupech,Q3509815
Horních Nětčicích,Q1021129
Horních Novosedlech,Q12020223
Horních Pasekách,Q122992
Horních Ředicích,Q2039321
Horních Stakorech,Q12020263
Horních Štěpanicích,Q12020305
Horních Těšicích,Q1021075
Horním Bousově,Q12020143
Horním Břečkově,Q535668
Horním Bukovsku,Q8552301
Horním Dehtově,Q12020157
Horním Hradišti,Q12020181
Horním Javoří,Q12020186
Horním Meziříčku,Q1628713
Horním Němčí,Q727865
Horním Smrčném,Q209493
Horním Staňkově,Q12020265
Horním Starém Městě,Q1255729
Horním Studenci,Q12020266
Horním Žďáru,Q12020309
Horním Žukově,Q3566042
Horšicích,Q2493559
Horušanech,Q12020327
Horušicích,Q2518942
Hoře Svaté Kateřiny,Q1627837
Hořejšicích,Q12020463
Hořeních Pasekách,Q12020480
Hořešovičkách,Q2137173
Hoslovicích,Q580530
Hostákově,Q12020386
Hostech,Q785717
Hostětíně,Q1022323
Hostíkovicích,Q12020387
Hostimi,Q1630615
Hostišové,Q1630627
Hostišově,Q12020376
Hostokryjích,Q12020382
Hošťce,Q734979
Houserovce,Q12020431
Houžné,Q12020443
Hovorčovicích,Q1322371
Hrabí,Q9294426
Hrabišíně,Q374844
Hradisku,Q12020576
Hradišti na Písku,Q12020599
Hradíšťku,Q12020627
Hrádku na Vlárské dráze,Q12020824
Hrachovci,Q1485384
Hrazené Lhotě,Q12020675
Hrázi,Q12020834
Hrbovicích,Q27644942
Hrdějovicích,Q1632399
Hrdibořicích,Q770114
Hrejkovicích,Q2486296
Hrobech,Q12020724
Hrobičanech,Q12020716
Hrobské Zahrádce,Q12020723
Hromnici,Q2569497
Hroněticích,Q12020744
Hroubovicích,Q2352064
Hrubé Horce,Q12020770
Hrubšicích,Q12020778
Hrušové,Q2246470
Hřebečné,Q12021240
Hřensku,Q1652783
Hřibinách,Q12021268
Hřibsku,Q12021269
Hříchovicích,Q12021279
Hřmeníně,Q12021277
Hukovicích,Q12020909
Hulicích,Q2619876
Huse,Q1638798
Husovicích,Q12020978
Huzové,Q1639501
Hvozdečku,Q9295297
Hýlově,Q10856779
Chabařovicích,Q1019326
Chabeřicích,Q2502845
Chanově,Q7126858
Chlaponicích,Q11724418
Chlistově,Q2548255
Chlumečku,Q11725413
Chocnějovicích,Q1075609
Chocově,Q11725997
Chodovicích,Q11726097
Chodské Lhotě,Q1075701
Chodském Újezdu,Q1075705
Cholenicích,Q2129186
Cholíně,Q11726365
Chomoutově,Q9190281
Chorušicích,Q582771
Choryni,Q1022363
Chotěborkách,Q11727152
Chotějovicích,Q11727177
Chotělicích,Q11727183
Chotýčanech,Q777306
Chotýšanech,Q2626478
Chožově,Q1076854
Chramostech,Q11727430
Chranišově,Q11727436
Chrastavci,Q1076879
Chrastavicích,Q2703666
Chrastinách,Q11727509
Chrástu nad Sázavou,Q11729639
Chrašticích,Q1844988
Chrustenicích,Q928275
Chržíně,Q2402435
Chřešťovicích,Q11730786
Chudčicích,Q637154
Chudonicích,Q11730280
Chuchelně,Q800147
Chuchli,Q11729986
Chvalčovicích,Q11730721
Chvalkově,Q8556626
Chválkovicích,Q11690422
Chvatěrubech,Q2421760
Chvojenci,Q2520882
Chvojnově,Q11730731
Jablůnce,Q576851
Jackově,Q12022209
Jakartovicích,Q1678812
Jakubově u Moravských Budějovic,Q209247
Jakubu,Q12022260
Jamném nad Orlicí,Q951116
Jamolicích,Q1877786
Jankovské Lhotě,Q12023492
Janově nad Nisou,Q1682943
Janských Lázních,Q1019988
Jarpicích,Q2318144
Javorce,Q12024277
Javorovci,Q1684259
Jažlovicích,Q12024337
Jedlce,Q12024375
Jedomělicích,Q2205711
Jenichově,Q12024502
Jeřicích,Q604863
Jesenci,Q2167806
Jeseníku nad Odrou,Q2523847
Jestřabí Lhotě,Q2323912
Jestřabí v Krkonoších,Q785521
Ješově,Q11727095
Jezbinách,Q12024610
Jezbořicích,Q2521156
Jezdovicích,Q25844
Jezernici,Q1632309
Jickovicích,Q2270850
Jihlávce,Q979030
Jilešovicích,Q12024734
Jílovci,Q12027541
Jílovišti,Q1857646
Jimramovských Pasekách,Q12024753
Jinačovicích,Q1689519
Jindřichově Vsi,Q1689553
Jinošicích,Q6202720
Jiřetíně pod Bukovou,Q1277437
Jiřicích u Miroslavi,Q786233
Jitkově,Q2493653
Jívové,Q693361
Jižné,Q12025717
Johance,Q12025750
Kacanovech,Q162454
Kačerově,Q12029059
Kačici,Q2527265
Kadeříně,Q11733242
Kadešicích,Q12027674
Kajlovci,Q12027698
Kájově,Q1795250
Kakejcově,Q977637
Kalhově,Q164473
Kališti u Lipí,Q8557293
Kalné vodě,Q12027737
Kamenické Nové Vísce,Q12027791
Kamilově,Q1723076
Kandii,Q12027941
Káraném,Q2532482
Karasíně,Q12028091
Karasově Lhotě,Q12028090
Karlovcích,Q12028728
Karlově Vsi,Q2703962
Karolince,Q1027935
Karpentné,Q3499834
Kasalicích,Q2102085
Kasanicích,Q12028875
Kašavě,Q1737633
Kášovicích,Q12032168
Kbelích,Q3489935
Kdousově,Q218365
Kestřanech,Q927385
Ketkovicích,Q1662681
Kladrubech nad Labem,Q2263841
Klamoši,Q2700132
Klapém,Q1744406
Klášterní Skalici,Q1451937
Klášterním Hradisku,Q11740378
Klášterním Hradisku u Olomouce,Q11740378
Klášterském Mlýně,Q12029574
Klášteře Hradiště nad Jizerou,Q1776680
Klášteře nad Jizerou u Mnichova Hradiště,Q1776680
Klášteře u Hradiště nad Jizerou,Q1776680
Klášteře u Mnichova Hradiště,Q1776680
Klech,Q1760366
Klenech,Q12029360
Klenově,Q12029348
Klenovicích na Hané,Q2519452
Klešicích,Q2521705
Klíčanech,Q1776746
Klínci,Q2509533
Kloboučkách,Q12029413
Klokotech,Q12029417
Kloušově,Q12029441
Kluckých Chvalovicích,Q12029472
Klučenicích,Q2698038
Klužínku,Q12029486
Kmetiněvsi,Q2666155
Knapovci,Q12029604
Kněžmostu,Q1777768
Koberovech,Q1777911
Kobeřicích u Brna,Q1777924
Kobylisích,Q174248
Kobylničkách,Q11985186
Kocbeřích,Q586750
Kocléřově,Q12029699
Kočí,Q1963363
Kochánkách,Q1975120
Kochově,Q12029690
Kojákovicích,Q8557421
Kojátkách,Q1499314
Kojicích,Q2252010
Kokovicích,Q12029770
Kokšíně,Q12029783
Koldíně,Q2520663
Količíně,Q12029826
Kolovratech,Q3506327
Kolšově,Q1779762
Komárnu,Q1021151
Komně,Q1781117
Komorní Lhotce,Q1780703
Komorním Hrádku,Q12029923
Komušíně,Q12029976
Konárovicích,Q301178
Konecchlumí,Q739608
Koněšíně,Q218493
Konstantinových Lázních,Q186207
Kopči,Q12030180
Kornaticích,Q376200
Kořenově,Q1785841
Kosicích,Q776788
Kostelanech nad Moravou,Q2311504
Kostelecké Lhotě,Q12031120
Kosteleckých Horkách,Q2702140
Kostelní Myslové,Q2349703
Kostelním Hlavnu,Q643807
Košíku,Q1785868
Košířích,Q2403918
Košticích,Q2424451
Koterově,Q12031162
Kotouni,Q11985092
Kotýřině,Q12031181
Koubalově Lhotě,Q12031185
Koutu na Šumavě,Q2163516
Kovanci,Q2435481
Kovansku,Q1785634
Kovárech,Q10395947
Kovářské,Q1233346
Kozašicích,Q12031232
Kozově,Q11744638
Kožichovicích,Q218460
Kožušanech,Q11747682
Kožušicích,Q1785890
Kracovicích,Q12031367
Krahulově,Q218508
Krajníčku,Q594985
Krakovanech,Q2046659
Králce,Q12031722
Kralicích nad Oslavou,Q218535
Královském Poříčí,Q1741423
Kramolně,Q1786443
Kraselově,Q744022
Krásensku,Q206549
Krasicích,Q12031426
Kraskově,Q12031427
Krásnu,Q1790515
Krasovicích,Q12031431
Krašlovicích,Q430169
Krátké Vsi,Q2634951
Krčkovicích,Q12031804
Krčmani,Q1790763
Krokočíně,Q218583
Krompachu,Q1789799
Krotějově,Q12031580
Kroužku,Q736735
Krpech,Q12031588
Krukanicích,Q12031620
Křečkově,Q1400648
Křelině,Q12032193
Křemačově,Q12032195
Křemýži,Q12032206
Křeničné,Q12032209
Křenůvkách,Q12032220
Křepinách,Q12032223
Křesíně,Q2702314
Křinicích,Q1797663
Křínově,Q12032327
Křišťanově,Q726487
Křivsoudově,Q1955504
Křižanovicích u Vyškova,Q1309905
Křovicích,Q12032303
Křtěticích,Q12032313
Kubově Huti,Q1790950
Kucínech,Q12031838
Kučeři,Q1900911
Kunčičkách u Bašky,Q11751116
Kunějově,Q980197
Kunějovicích,Q2046464
Kuní,Q12031932
Kuničkách,Q1756046
Kuníně,Q1792751
Kurdějově,Q1023829
Kuřimském Jestřabí,Q1794807
Kvíčku,Q12032067
Kvildě,Q933675
Kynicích,Q1960379
Kyselce,Q1019975
Kyškovicích,Q387782
Labutech,Q1799572
Labuticích,Q12032427
Ladíně,Q12032662
Lahošti,Q1800639
Lamperticích,Q1497832
Lánech na Důlku,Q12034527
Lásenici,Q1628917
Lavicích,Q12032790
Lázních Toušeni,Q1879134
Lbosíně,Q12032832
Lčovicích,Q940370
Ledkově,Q12032857
Leleticích,Q12032908
Leopoldce,Q12033012
Lesním Jakubově,Q165985
Leškovicích,Q2635338
Leštině u Světlé,Q2511467
Letařovicích,Q12033084
Letinách,Q1821104
Letošově,Q1821132
Levonicích,Q12033172
Lhotce nad Bečvou,Q1822511
Lhotce u Litultovic,Q2106741
Lhotce u Radnic,Q1282083
Lhotě nad Moravou,Q11755589
Lhotě pod Hořičkami,Q1822517
Lhotě pod Kosířem,Q11755590
Lhotě pod Radčem,Q2523927
Lhotě u Stříbra,Q12033257
Lhotě u Vsetína,Q1361331
Lhovicích,Q12033294
Libavé,Q186200
Libeři,Q1863455
Libchyni,Q2700815
Libichově,Q12033341
Liblíně,Q2702762
Libníči,Q1611611
Libníkovicích,Q2700141
Libonicích,Q12033354
Liboši,Q1823130
Libošovicích,Q2464264
Libouni,Q12033400
Libunci,Q12033407
Licibořicích,Q2353745
Licoměřicích,Q12033473
Ličně,Q12033723
Lichkově,Q202024
Lichocevsi,Q2659883
Líchovech,Q12034617
Lípách,Q1506876
Lípě nad Orlicí,Q2702208
Lipenci,Q12033577
